date,fatalistic,isPartial
2012-01-01,38,False
2012-01-08,21,False
2012-01-15,67,False
2012-01-22,100,False
2012-01-29,45,False
2012-02-05,60,False
2012-02-12,65,False
2012-02-19,75,False
2012-02-26,41,False
2012-03-04,15,False
2012-03-11,30,False
2012-03-18,41,False
2012-03-25,51,False
2012-04-01,31,False
2012-04-08,26,False
2012-04-15,75,False
2012-04-22,60,False
2012-04-29,50,False
2012-05-06,50,False
2012-05-13,35,False
2012-05-20,56,False
2012-05-27,53,False
2012-06-03,36,False
2012-06-10,10,False
2012-06-17,42,False
2012-06-24,20,False
2012-07-01,43,False
2012-07-08,50,False
2012-07-15,75,False
2012-07-22,35,False
2012-07-29,30,False
2012-08-05,49,False
2012-08-12,45,False
2012-08-19,40,False
2012-08-26,54,False
2012-09-02,79,False
2012-09-09,43,False
2012-09-16,67,False
2012-09-23,66,False
2012-09-30,70,False
2012-10-07,73,False
2012-10-14,36,False
2012-10-21,40,False
2012-10-28,23,False
2012-11-04,63,False
2012-11-11,60,False
2012-11-18,14,False
2012-11-25,73,False
2012-12-02,48,False
2012-12-09,57,False
2012-12-16,32,False
2012-12-23,41,False
2012-12-30,37,False
