geoName,lousy
Alabama,33
Alaska,0
Arizona,57
Arkansas,27
California,54
Colorado,37
Connecticut,45
Delaware,0
District of Columbia,48
Florida,52
Georgia,44
Hawaii,51
Idaho,63
Illinois,55
Indiana,54
Iowa,23
Kansas,43
Kentucky,53
Louisiana,16
Maine,38
Maryland,56
Massachusetts,67
Michigan,61
Minnesota,43
Mississippi,33
Missouri,30
Montana,0
Nebraska,29
Nevada,57
New Hampshire,100
New Jersey,62
New Mexico,61
New York,54
North Carolina,34
North Dakota,0
Ohio,39
Oklahoma,43
Oregon,34
Pennsylvania,52
Rhode Island,61
South Carolina,34
South Dakota,0
Tennessee,45
Texas,41
Utah,26
Vermont,0
Virginia,41
Washington,57
West Virginia,21
Wisconsin,23
Wyoming,0
