date,lousy,isPartial
2015-01-04,63,False
2015-01-11,61,False
2015-01-18,77,False
2015-01-25,67,False
2015-02-01,70,False
2015-02-08,36,False
2015-02-15,55,False
2015-02-22,61,False
2015-03-01,82,False
2015-03-08,47,False
2015-03-15,63,False
2015-03-22,60,False
2015-03-29,54,False
2015-04-05,71,False
2015-04-12,59,False
2015-04-19,53,False
2015-04-26,53,False
2015-05-03,47,False
2015-05-10,63,False
2015-05-17,71,False
2015-05-24,72,False
2015-05-31,57,False
2015-06-07,62,False
2015-06-14,43,False
2015-06-21,33,False
2015-06-28,49,False
2015-07-05,60,False
2015-07-12,100,False
2015-07-19,83,False
2015-07-26,58,False
2015-08-02,64,False
2015-08-09,61,False
2015-08-16,64,False
2015-08-23,67,False
2015-08-30,73,False
2015-09-06,63,False
2015-09-13,52,False
2015-09-20,58,False
2015-09-27,70,False
2015-10-04,73,False
2015-10-11,60,False
2015-10-18,71,False
2015-10-25,66,False
2015-11-01,66,False
2015-11-08,51,False
2015-11-15,70,False
2015-11-22,51,False
2015-11-29,72,False
2015-12-06,60,False
2015-12-13,49,False
2015-12-20,51,False
2015-12-27,57,False
