date,lousy,isPartial
2013-01-06,61,False
2013-01-13,48,False
2013-01-20,58,False
2013-01-27,53,False
2013-02-03,54,False
2013-02-10,46,False
2013-02-17,49,False
2013-02-24,54,False
2013-03-03,72,False
2013-03-10,86,False
2013-03-17,75,False
2013-03-24,52,False
2013-03-31,59,False
2013-04-07,54,False
2013-04-14,47,False
2013-04-21,67,False
2013-04-28,42,False
2013-05-05,57,False
2013-05-12,45,False
2013-05-19,38,False
2013-05-26,74,False
2013-06-02,30,False
2013-06-09,48,False
2013-06-16,47,False
2013-06-23,44,False
2013-06-30,45,False
2013-07-07,47,False
2013-07-14,44,False
2013-07-21,41,False
2013-07-28,58,False
2013-08-04,51,False
2013-08-11,50,False
2013-08-18,53,False
2013-08-25,38,False
2013-09-01,37,False
2013-09-08,61,False
2013-09-15,64,False
2013-09-22,65,False
2013-09-29,45,False
2013-10-06,100,False
2013-10-13,90,False
2013-10-20,82,False
2013-10-27,66,False
2013-11-03,46,False
2013-11-10,58,False
2013-11-17,50,False
2013-11-24,41,False
2013-12-01,58,False
2013-12-08,46,False
2013-12-15,67,False
2013-12-22,55,False
2013-12-29,59,False
