date,lousy,isPartial
2011-01-02,56,False
2011-01-09,47,False
2011-01-16,54,False
2011-01-23,68,False
2011-01-30,38,False
2011-02-06,69,False
2011-02-13,57,False
2011-02-20,42,False
2011-02-27,37,False
2011-03-06,78,False
2011-03-13,53,False
2011-03-20,39,False
2011-03-27,50,False
2011-04-03,32,False
2011-04-10,59,False
2011-04-17,59,False
2011-04-24,41,False
2011-05-01,77,False
2011-05-08,60,False
2011-05-15,71,False
2011-05-22,58,False
2011-05-29,32,False
2011-06-05,56,False
2011-06-12,49,False
2011-06-19,42,False
2011-06-26,55,False
2011-07-03,71,False
2011-07-10,69,False
2011-07-17,57,False
2011-07-24,54,False
2011-07-31,81,False
2011-08-07,63,False
2011-08-14,50,False
2011-08-21,58,False
2011-08-28,43,False
2011-09-04,46,False
2011-09-11,55,False
2011-09-18,48,False
2011-09-25,94,False
2011-10-02,100,False
2011-10-09,67,False
2011-10-16,45,False
2011-10-23,61,False
2011-10-30,53,False
2011-11-06,46,False
2011-11-13,36,False
2011-11-20,54,False
2011-11-27,44,False
2011-12-04,46,False
2011-12-11,64,False
2011-12-18,42,False
2011-12-25,49,False
