date,lousy,isPartial
2014-01-05,59,False
2014-01-12,92,False
2014-01-19,76,False
2014-01-26,81,False
2014-02-02,60,False
2014-02-09,89,False
2014-02-16,64,False
2014-02-23,85,False
2014-03-02,76,False
2014-03-09,79,False
2014-03-16,78,False
2014-03-23,84,False
2014-03-30,89,False
2014-04-06,65,False
2014-04-13,82,False
2014-04-20,64,False
2014-04-27,58,False
2014-05-04,72,False
2014-05-11,99,False
2014-05-18,100,False
2014-05-25,76,False
2014-06-01,71,False
2014-06-08,76,False
2014-06-15,71,False
2014-06-22,76,False
2014-06-29,59,False
2014-07-06,58,False
2014-07-13,46,False
2014-07-20,73,False
2014-07-27,57,False
2014-08-03,54,False
2014-08-10,57,False
2014-08-17,54,False
2014-08-24,58,False
2014-08-31,64,False
2014-09-07,51,False
2014-09-14,82,False
2014-09-21,75,False
2014-09-28,76,False
2014-10-05,71,False
2014-10-12,66,False
2014-10-19,80,False
2014-10-26,77,False
2014-11-02,88,False
2014-11-09,63,False
2014-11-16,85,False
2014-11-23,94,False
2014-11-30,97,False
2014-12-07,60,False
2014-12-14,57,False
2014-12-21,81,False
2014-12-28,85,False
