geoName,lousy
Alabama,37
Alaska,0
Arizona,43
Arkansas,23
California,58
Colorado,41
Connecticut,38
Delaware,0
District of Columbia,54
Florida,46
Georgia,53
Hawaii,26
Idaho,42
Illinois,53
Indiana,42
Iowa,59
Kansas,37
Kentucky,32
Louisiana,33
Maine,42
Maryland,62
Massachusetts,61
Michigan,44
Minnesota,54
Mississippi,25
Missouri,37
Montana,0
Nebraska,15
Nevada,54
New Hampshire,100
New Jersey,83
New Mexico,64
New York,69
North Carolina,47
North Dakota,0
Ohio,50
Oklahoma,65
Oregon,45
Pennsylvania,64
Rhode Island,47
South Carolina,45
South Dakota,0
Tennessee,36
Texas,52
Utah,63
Vermont,0
Virginia,53
Washington,57
West Virginia,24
Wisconsin,58
Wyoming,0
