date,lousy,isPartial
2012-01-01,47,False
2012-01-08,53,False
2012-01-15,58,False
2012-01-22,100,False
2012-01-29,72,False
2012-02-05,84,False
2012-02-12,55,False
2012-02-19,87,False
2012-02-26,71,False
2012-03-04,94,False
2012-03-11,70,False
2012-03-18,72,False
2012-03-25,63,False
2012-04-01,76,False
2012-04-08,59,False
2012-04-15,65,False
2012-04-22,38,False
2012-04-29,71,False
2012-05-06,82,False
2012-05-13,59,False
2012-05-20,80,False
2012-05-27,63,False
2012-06-03,86,False
2012-06-10,64,False
2012-06-17,69,False
2012-06-24,55,False
2012-07-01,67,False
2012-07-08,54,False
2012-07-15,71,False
2012-07-22,69,False
2012-07-29,52,False
2012-08-05,64,False
2012-08-12,64,False
2012-08-19,49,False
2012-08-26,51,False
2012-09-02,53,False
2012-09-09,72,False
2012-09-16,61,False
2012-09-23,41,False
2012-09-30,71,False
2012-10-07,52,False
2012-10-14,72,False
2012-10-21,56,False
2012-10-28,67,False
2012-11-04,48,False
2012-11-11,40,False
2012-11-18,45,False
2012-11-25,49,False
2012-12-02,79,False
2012-12-09,47,False
2012-12-16,92,False
2012-12-23,66,False
2012-12-30,80,False
