geoName,lousy
Alabama,49
Alaska,0
Arizona,69
Arkansas,41
California,61
Colorado,55
Connecticut,63
Delaware,0
District of Columbia,62
Florida,69
Georgia,35
Hawaii,51
Idaho,33
Illinois,51
Indiana,66
Iowa,33
Kansas,46
Kentucky,65
Louisiana,37
Maine,81
Maryland,79
Massachusetts,82
Michigan,41
Minnesota,61
Mississippi,44
Missouri,57
Montana,0
Nebraska,38
Nevada,53
New Hampshire,94
New Jersey,55
New Mexico,41
New York,66
North Carolina,68
North Dakota,0
Ohio,48
Oklahoma,26
Oregon,41
Pennsylvania,60
Rhode Island,100
South Carolina,43
South Dakota,0
Tennessee,34
Texas,44
Utah,52
Vermont,0
Virginia,55
Washington,57
West Virginia,12
Wisconsin,46
Wyoming,0
