date,disheartened,isPartial
2011-01-02,42,False
2011-01-09,8,False
2011-01-16,24,False
2011-01-23,32,False
2011-01-30,38,False
2011-02-06,70,False
2011-02-13,32,False
2011-02-20,32,False
2011-02-27,24,False
2011-03-06,8,False
2011-03-13,58,False
2011-03-20,39,False
2011-03-27,31,False
2011-04-03,31,False
2011-04-10,16,False
2011-04-17,32,False
2011-04-24,32,False
2011-05-01,63,False
2011-05-08,24,False
2011-05-15,24,False
2011-05-22,24,False
2011-05-29,100,False
2011-06-05,48,False
2011-06-12,40,False
2011-06-19,16,False
2011-06-26,8,False
2011-07-03,33,False
2011-07-10,39,False
2011-07-17,8,False
2011-07-24,23,False
2011-07-31,0,False
2011-08-07,38,False
2011-08-14,23,False
2011-08-21,15,False
2011-08-28,22,False
2011-09-04,45,False
2011-09-11,14,False
2011-09-18,57,False
2011-09-25,43,False
2011-10-02,29,False
2011-10-09,21,False
2011-10-16,56,False
2011-10-23,48,False
2011-10-30,28,False
2011-11-06,69,False
2011-11-13,20,False
2011-11-20,22,False
2011-11-27,46,False
2011-12-04,59,False
2011-12-11,7,False
2011-12-18,0,False
2011-12-25,7,False
