date,disheartened,isPartial
2012-01-01,34,False
2012-01-08,64,False
2012-01-15,48,False
2012-01-22,31,False
2012-01-29,39,False
2012-02-05,55,False
2012-02-12,39,False
2012-02-19,31,False
2012-02-26,32,False
2012-03-04,40,False
2012-03-11,32,False
2012-03-18,47,False
2012-03-25,63,False
2012-04-01,16,False
2012-04-08,41,False
2012-04-15,71,False
2012-04-22,47,False
2012-04-29,46,False
2012-05-06,39,False
2012-05-13,32,False
2012-05-20,32,False
2012-05-27,41,False
2012-06-03,80,False
2012-06-10,89,False
2012-06-17,24,False
2012-06-24,48,False
2012-07-01,17,False
2012-07-08,55,False
2012-07-15,31,False
2012-07-22,70,False
2012-07-29,71,False
2012-08-05,62,False
2012-08-12,23,False
2012-08-19,23,False
2012-08-26,46,False
2012-09-02,100,False
2012-09-09,37,False
2012-09-16,45,False
2012-09-23,59,False
2012-09-30,15,False
2012-10-07,64,False
2012-10-14,49,False
2012-10-21,70,False
2012-10-28,43,False
2012-11-04,70,False
2012-11-11,43,False
2012-11-18,60,False
2012-11-25,40,False
2012-12-02,75,False
2012-12-09,41,False
2012-12-16,49,False
2012-12-23,40,False
2012-12-30,44,False
