date,disheartened,isPartial
2014-01-05,43,False
2014-01-12,59,False
2014-01-19,48,False
2014-01-26,58,False
2014-02-02,44,False
2014-02-09,31,False
2014-02-16,42,False
2014-02-23,52,False
2014-03-02,51,False
2014-03-09,37,False
2014-03-16,37,False
2014-03-23,90,False
2014-03-30,26,False
2014-04-06,75,False
2014-04-13,43,False
2014-04-20,32,False
2014-04-27,70,False
2014-05-04,33,False
2014-05-11,33,False
2014-05-18,96,False
2014-05-25,39,False
2014-06-01,44,False
2014-06-08,19,False
2014-06-15,19,False
2014-06-22,26,False
2014-06-29,34,False
2014-07-06,51,False
2014-07-13,13,False
2014-07-20,44,False
2014-07-27,25,False
2014-08-03,33,False
2014-08-10,31,False
2014-08-17,50,False
2014-08-24,49,False
2014-08-31,73,False
2014-09-07,35,False
2014-09-14,71,False
2014-09-21,83,False
2014-09-28,71,False
2014-10-05,29,False
2014-10-12,35,False
2014-10-19,59,False
2014-10-26,89,False
2014-11-02,70,False
2014-11-09,69,False
2014-11-16,41,False
2014-11-23,81,False
2014-11-30,100,False
2014-12-07,75,False
2014-12-14,24,False
2014-12-21,21,False
2014-12-28,39,False
