date,disheartened,isPartial
2013-01-06,83,False
2013-01-13,68,False
2013-01-20,61,False
2013-01-27,81,False
2013-02-03,89,False
2013-02-10,37,False
2013-02-17,74,False
2013-02-24,22,False
2013-03-03,44,False
2013-03-10,44,False
2013-03-17,74,False
2013-03-24,54,False
2013-03-31,37,False
2013-04-07,30,False
2013-04-14,81,False
2013-04-21,90,False
2013-04-28,67,False
2013-05-05,97,False
2013-05-12,31,False
2013-05-19,46,False
2013-05-26,56,False
2013-06-02,23,False
2013-06-09,55,False
2013-06-16,39,False
2013-06-23,79,False
2013-06-30,16,False
2013-07-07,46,False
2013-07-14,61,False
2013-07-21,15,False
2013-07-28,15,False
2013-08-04,38,False
2013-08-11,30,False
2013-08-18,46,False
2013-08-25,66,False
2013-09-01,38,False
2013-09-08,80,False
2013-09-15,58,False
2013-09-22,45,False
2013-09-29,66,False
2013-10-06,52,False
2013-10-13,74,False
2013-10-20,73,False
2013-10-27,59,False
2013-11-03,95,False
2013-11-10,58,False
2013-11-17,78,False
2013-11-24,61,False
2013-12-01,61,False
2013-12-08,100,False
2013-12-15,74,False
2013-12-22,25,False
2013-12-29,8,False
