date,disheartened,isPartial
2015-01-04,55,False
2015-01-11,39,False
2015-01-18,35,False
2015-01-25,54,False
2015-02-01,28,False
2015-02-08,67,False
2015-02-15,34,False
2015-02-22,34,False
2015-03-01,53,False
2015-03-08,35,False
2015-03-15,49,False
2015-03-22,49,False
2015-03-29,41,False
2015-04-05,50,False
2015-04-12,39,False
2015-04-19,50,False
2015-04-26,45,False
2015-05-03,36,False
2015-05-10,62,False
2015-05-17,53,False
2015-05-24,33,False
2015-05-31,54,False
2015-06-07,33,False
2015-06-14,27,False
2015-06-21,87,False
2015-06-28,44,False
2015-07-05,38,False
2015-07-12,27,False
2015-07-19,22,False
2015-07-26,27,False
2015-08-02,27,False
2015-08-09,21,False
2015-08-16,32,False
2015-08-23,37,False
2015-08-30,51,False
2015-09-06,88,False
2015-09-13,70,False
2015-09-20,54,False
2015-09-27,49,False
2015-10-04,55,False
2015-10-11,39,False
2015-10-18,38,False
2015-10-25,82,False
2015-11-01,100,False
2015-11-08,81,False
2015-11-15,53,False
2015-11-22,57,False
2015-11-29,70,False
2015-12-06,90,False
2015-12-13,53,False
2015-12-20,28,False
2015-12-27,5,False
