date,disheartened,isPartial
2016-01-03,43,False
2016-01-10,24,False
2016-01-17,31,False
2016-01-24,14,False
2016-01-31,55,False
2016-02-07,27,False
2016-02-14,24,False
2016-02-21,24,False
2016-02-28,40,False
2016-03-06,24,False
2016-03-13,35,False
2016-03-20,37,False
2016-03-27,17,False
2016-04-03,33,False
2016-04-10,30,False
2016-04-17,25,False
2016-04-24,27,False
2016-05-01,30,False
2016-05-08,25,False
2016-05-15,20,False
2016-05-22,29,False
2016-05-29,32,False
2016-06-05,17,False
2016-06-12,54,False
2016-06-19,21,False
2016-06-26,20,False
2016-07-03,46,False
2016-07-10,41,False
2016-07-17,33,False
2016-07-24,9,False
2016-07-31,18,False
2016-08-07,15,False
2016-08-14,22,False
2016-08-21,27,False
2016-08-28,34,False
2016-09-04,34,False
2016-09-11,36,False
2016-09-18,24,False
2016-09-25,30,False
2016-10-02,22,False
2016-10-09,36,False
2016-10-16,30,False
2016-10-23,19,False
2016-10-30,24,False
2016-11-06,100,False
2016-11-13,35,False
2016-11-20,22,False
2016-11-27,33,False
2016-12-04,60,False
2016-12-11,41,False
2016-12-18,25,False
2016-12-25,17,False
