geoName,unhappy
Alabama,80
Alaska,70
Arizona,71
Arkansas,89
California,76
Colorado,67
Connecticut,84
Delaware,40
District of Columbia,79
Florida,69
Georgia,63
Hawaii,94
Idaho,45
Illinois,74
Indiana,80
Iowa,63
Kansas,69
Kentucky,83
Louisiana,70
Maine,76
Maryland,71
Massachusetts,77
Michigan,76
Minnesota,63
Mississippi,75
Missouri,78
Montana,68
Nebraska,55
Nevada,82
New Hampshire,75
New Jersey,77
New Mexico,73
New York,75
North Carolina,72
North Dakota,75
Ohio,80
Oklahoma,64
Oregon,70
Pennsylvania,74
Rhode Island,49
South Carolina,64
South Dakota,53
Tennessee,82
Texas,73
Utah,53
Vermont,100
Virginia,79
Washington,67
West Virginia,77
Wisconsin,74
Wyoming,42
