geoName,unhappy
Alabama,73
Alaska,78
Arizona,61
Arkansas,73
California,61
Colorado,60
Connecticut,68
Delaware,59
District of Columbia,67
Florida,53
Georgia,59
Hawaii,70
Idaho,61
Illinois,58
Indiana,73
Iowa,48
Kansas,51
Kentucky,76
Louisiana,67
Maine,97
Maryland,67
Massachusetts,67
Michigan,56
Minnesota,67
Mississippi,78
Missouri,62
Montana,37
Nebraska,50
Nevada,57
New Hampshire,68
New Jersey,71
New Mexico,45
New York,72
North Carolina,61
North Dakota,37
Ohio,70
Oklahoma,54
Oregon,46
Pennsylvania,69
Rhode Island,43
South Carolina,54
South Dakota,38
Tennessee,69
Texas,58
Utah,57
Vermont,62
Virginia,55
Washington,72
West Virginia,68
Wisconsin,53
Wyoming,100
