geoName,unhappy
Alabama,64
Alaska,83
Arizona,70
Arkansas,83
California,69
Colorado,66
Connecticut,72
Delaware,74
District of Columbia,63
Florida,67
Georgia,68
Hawaii,97
Idaho,65
Illinois,66
Indiana,58
Iowa,64
Kansas,75
Kentucky,94
Louisiana,54
Maine,58
Maryland,88
Massachusetts,78
Michigan,72
Minnesota,59
Mississippi,72
Missouri,78
Montana,75
Nebraska,75
Nevada,55
New Hampshire,80
New Jersey,80
New Mexico,100
New York,78
North Carolina,71
North Dakota,52
Ohio,70
Oklahoma,71
Oregon,56
Pennsylvania,69
Rhode Island,73
South Carolina,56
South Dakota,61
Tennessee,64
Texas,65
Utah,51
Vermont,43
Virginia,80
Washington,69
West Virginia,77
Wisconsin,77
Wyoming,52
