date,unhappy,isPartial
2013-01-06,56,False
2013-01-13,74,False
2013-01-20,62,False
2013-01-27,61,False
2013-02-03,61,False
2013-02-10,62,False
2013-02-17,58,False
2013-02-24,66,False
2013-03-03,60,False
2013-03-10,60,False
2013-03-17,61,False
2013-03-24,71,False
2013-03-31,70,False
2013-04-07,71,False
2013-04-14,58,False
2013-04-21,63,False
2013-04-28,72,False
2013-05-05,63,False
2013-05-12,54,False
2013-05-19,62,False
2013-05-26,59,False
2013-06-02,54,False
2013-06-09,51,False
2013-06-16,46,False
2013-06-23,55,False
2013-06-30,50,False
2013-07-07,58,False
2013-07-14,59,False
2013-07-21,57,False
2013-07-28,54,False
2013-08-04,60,False
2013-08-11,56,False
2013-08-18,59,False
2013-08-25,62,False
2013-09-01,56,False
2013-09-08,72,False
2013-09-15,100,False
2013-09-22,79,False
2013-09-29,60,False
2013-10-06,67,False
2013-10-13,64,False
2013-10-20,64,False
2013-10-27,69,False
2013-11-03,78,False
2013-11-10,64,False
2013-11-17,76,False
2013-11-24,58,False
2013-12-01,66,False
2013-12-08,60,False
2013-12-15,62,False
2013-12-22,58,False
2013-12-29,62,False
