geoName,unhappy
Alabama,100
Alaska,69
Arizona,80
Arkansas,78
California,80
Colorado,66
Connecticut,88
Delaware,47
District of Columbia,85
Florida,69
Georgia,83
Hawaii,100
Idaho,76
Illinois,69
Indiana,78
Iowa,94
Kansas,74
Kentucky,75
Louisiana,74
Maine,81
Maryland,73
Massachusetts,71
Michigan,83
Minnesota,67
Mississippi,92
Missouri,72
Montana,73
Nebraska,57
Nevada,60
New Hampshire,64
New Jersey,89
New Mexico,57
New York,79
North Carolina,72
North Dakota,81
Ohio,79
Oklahoma,79
Oregon,49
Pennsylvania,69
Rhode Island,78
South Carolina,89
South Dakota,83
Tennessee,89
Texas,73
Utah,91
Vermont,85
Virginia,73
Washington,79
West Virginia,68
Wisconsin,72
Wyoming,69
