geoName,unhappy
Alabama,81
Alaska,91
Arizona,69
Arkansas,71
California,75
Colorado,70
Connecticut,89
Delaware,85
District of Columbia,72
Florida,73
Georgia,82
Hawaii,57
Idaho,69
Illinois,75
Indiana,84
Iowa,59
Kansas,71
Kentucky,72
Louisiana,85
Maine,82
Maryland,77
Massachusetts,86
Michigan,70
Minnesota,73
Mississippi,93
Missouri,81
Montana,68
Nebraska,75
Nevada,52
New Hampshire,94
New Jersey,82
New Mexico,84
New York,77
North Carolina,74
North Dakota,94
Ohio,71
Oklahoma,77
Oregon,69
Pennsylvania,82
Rhode Island,80
South Carolina,77
South Dakota,48
Tennessee,80
Texas,74
Utah,70
Vermont,91
Virginia,94
Washington,72
West Virginia,100
Wisconsin,69
Wyoming,65
