date,unhappy,isPartial
2015-01-04,83,False
2015-01-11,68,False
2015-01-18,78,False
2015-01-25,79,False
2015-02-01,85,False
2015-02-08,82,False
2015-02-15,84,False
2015-02-22,98,False
2015-03-01,75,False
2015-03-08,82,False
2015-03-15,79,False
2015-03-22,80,False
2015-03-29,84,False
2015-04-05,78,False
2015-04-12,93,False
2015-04-19,91,False
2015-04-26,81,False
2015-05-03,91,False
2015-05-10,90,False
2015-05-17,87,False
2015-05-24,71,False
2015-05-31,77,False
2015-06-07,67,False
2015-06-14,88,False
2015-06-21,82,False
2015-06-28,79,False
2015-07-05,77,False
2015-07-12,65,False
2015-07-19,78,False
2015-07-26,75,False
2015-08-02,74,False
2015-08-09,82,False
2015-08-16,86,False
2015-08-23,80,False
2015-08-30,84,False
2015-09-06,85,False
2015-09-13,81,False
2015-09-20,92,False
2015-09-27,87,False
2015-10-04,88,False
2015-10-11,78,False
2015-10-18,100,False
2015-10-25,74,False
2015-11-01,96,False
2015-11-08,73,False
2015-11-15,83,False
2015-11-22,77,False
2015-11-29,78,False
2015-12-06,96,False
2015-12-13,82,False
2015-12-20,65,False
2015-12-27,73,False
