date,terrified,isPartial
2013-01-06,81,False
2013-01-13,63,False
2013-01-20,72,False
2013-01-27,83,False
2013-02-03,67,False
2013-02-10,69,False
2013-02-17,56,False
2013-02-24,84,False
2013-03-03,49,False
2013-03-10,69,False
2013-03-17,76,False
2013-03-24,75,False
2013-03-31,57,False
2013-04-07,84,False
2013-04-14,84,False
2013-04-21,55,False
2013-04-28,90,False
2013-05-05,77,False
2013-05-12,72,False
2013-05-19,51,False
2013-05-26,61,False
2013-06-02,60,False
2013-06-09,83,False
2013-06-16,55,False
2013-06-23,69,False
2013-06-30,82,False
2013-07-07,76,False
2013-07-14,62,False
2013-07-21,100,False
2013-07-28,82,False
2013-08-04,58,False
2013-08-11,83,False
2013-08-18,64,False
2013-08-25,84,False
2013-09-01,79,False
2013-09-08,64,False
2013-09-15,65,False
2013-09-22,80,False
2013-09-29,67,False
2013-10-06,76,False
2013-10-13,70,False
2013-10-20,71,False
2013-10-27,74,False
2013-11-03,64,False
2013-11-10,67,False
2013-11-17,63,False
2013-11-24,68,False
2013-12-01,80,False
2013-12-08,95,False
2013-12-15,76,False
2013-12-22,73,False
2013-12-29,54,False
