geoName,terrified
Alabama,49
Alaska,66
Arizona,52
Arkansas,21
California,53
Colorado,46
Connecticut,45
Delaware,36
District of Columbia,45
Florida,44
Georgia,42
Hawaii,51
Idaho,57
Illinois,43
Indiana,50
Iowa,49
Kansas,52
Kentucky,68
Louisiana,40
Maine,45
Maryland,40
Massachusetts,56
Michigan,47
Minnesota,69
Mississippi,42
Missouri,59
Montana,48
Nebraska,44
Nevada,80
New Hampshire,100
New Jersey,40
New Mexico,33
New York,44
North Carolina,57
North Dakota,29
Ohio,47
Oklahoma,53
Oregon,40
Pennsylvania,47
Rhode Island,48
South Carolina,46
South Dakota,44
Tennessee,61
Texas,47
Utah,67
Vermont,14
Virginia,42
Washington,49
West Virginia,31
Wisconsin,54
Wyoming,0
