date,terrified,isPartial
2016-01-03,63,False
2016-01-10,43,False
2016-01-17,40,False
2016-01-24,48,False
2016-01-31,54,False
2016-02-07,48,False
2016-02-14,40,False
2016-02-21,55,False
2016-02-28,51,False
2016-03-06,46,False
2016-03-13,55,False
2016-03-20,51,False
2016-03-27,69,False
2016-04-03,47,False
2016-04-10,55,False
2016-04-17,70,False
2016-04-24,47,False
2016-05-01,58,False
2016-05-08,46,False
2016-05-15,56,False
2016-05-22,52,False
2016-05-29,70,False
2016-06-05,63,False
2016-06-12,54,False
2016-06-19,52,False
2016-06-26,48,False
2016-07-03,48,False
2016-07-10,40,False
2016-07-17,62,False
2016-07-24,62,False
2016-07-31,39,False
2016-08-07,47,False
2016-08-14,51,False
2016-08-21,53,False
2016-08-28,70,False
2016-09-04,46,False
2016-09-11,59,False
2016-09-18,60,False
2016-09-25,57,False
2016-10-02,54,False
2016-10-09,54,False
2016-10-16,58,False
2016-10-23,56,False
2016-10-30,57,False
2016-11-06,100,False
2016-11-13,70,False
2016-11-20,53,False
2016-11-27,72,False
2016-12-04,76,False
2016-12-11,62,False
2016-12-18,50,False
2016-12-25,43,False
