date,terrified,isPartial
2014-01-05,39,False
2014-01-12,43,False
2014-01-19,44,False
2014-01-26,43,False
2014-02-02,48,False
2014-02-09,38,False
2014-02-16,42,False
2014-02-23,48,False
2014-03-02,46,False
2014-03-09,39,False
2014-03-16,48,False
2014-03-23,40,False
2014-03-30,53,False
2014-04-06,44,False
2014-04-13,50,False
2014-04-20,48,False
2014-04-27,45,False
2014-05-04,46,False
2014-05-11,51,False
2014-05-18,52,False
2014-05-25,48,False
2014-06-01,44,False
2014-06-08,50,False
2014-06-15,41,False
2014-06-22,41,False
2014-06-29,55,False
2014-07-06,48,False
2014-07-13,43,False
2014-07-20,37,False
2014-07-27,66,False
2014-08-03,49,False
2014-08-10,51,False
2014-08-17,63,False
2014-08-24,38,False
2014-08-31,32,False
2014-09-07,56,False
2014-09-14,39,False
2014-09-21,63,False
2014-09-28,53,False
2014-10-05,58,False
2014-10-12,48,False
2014-10-19,44,False
2014-10-26,51,False
2014-11-02,38,False
2014-11-09,45,False
2014-11-16,50,False
2014-11-23,40,False
2014-11-30,50,False
2014-12-07,54,False
2014-12-14,36,False
2014-12-21,76,False
2014-12-28,100,False
