date,terrified,isPartial
2011-01-02,69,False
2011-01-09,100,False
2011-01-16,73,False
2011-01-23,67,False
2011-01-30,50,False
2011-02-06,85,False
2011-02-13,62,False
2011-02-20,79,False
2011-02-27,58,False
2011-03-06,73,False
2011-03-13,54,False
2011-03-20,67,False
2011-03-27,63,False
2011-04-03,69,False
2011-04-10,74,False
2011-04-17,47,False
2011-04-24,63,False
2011-05-01,52,False
2011-05-08,64,False
2011-05-15,47,False
2011-05-22,68,False
2011-05-29,69,False
2011-06-05,69,False
2011-06-12,63,False
2011-06-19,61,False
2011-06-26,87,False
2011-07-03,62,False
2011-07-10,66,False
2011-07-17,51,False
2011-07-24,50,False
2011-07-31,52,False
2011-08-07,55,False
2011-08-14,72,False
2011-08-21,77,False
2011-08-28,63,False
2011-09-04,66,False
2011-09-11,69,False
2011-09-18,53,False
2011-09-25,61,False
2011-10-02,66,False
2011-10-09,51,False
2011-10-16,61,False
2011-10-23,96,False
2011-10-30,70,False
2011-11-06,65,False
2011-11-13,44,False
2011-11-20,25,False
2011-11-27,62,False
2011-12-04,39,False
2011-12-11,57,False
2011-12-18,59,False
2011-12-25,50,False
