date,terrified,isPartial
2015-01-04,49,False
2015-01-11,67,False
2015-01-18,66,False
2015-01-25,68,False
2015-02-01,61,False
2015-02-08,72,False
2015-02-15,49,False
2015-02-22,54,False
2015-03-01,55,False
2015-03-08,75,False
2015-03-15,60,False
2015-03-22,56,False
2015-03-29,45,False
2015-04-05,62,False
2015-04-12,57,False
2015-04-19,45,False
2015-04-26,66,False
2015-05-03,60,False
2015-05-10,65,False
2015-05-17,58,False
2015-05-24,49,False
2015-05-31,70,False
2015-06-07,55,False
2015-06-14,67,False
2015-06-21,67,False
2015-06-28,100,False
2015-07-05,66,False
2015-07-12,63,False
2015-07-19,67,False
2015-07-26,62,False
2015-08-02,58,False
2015-08-09,57,False
2015-08-16,48,False
2015-08-23,62,False
2015-08-30,55,False
2015-09-06,62,False
2015-09-13,63,False
2015-09-20,76,False
2015-09-27,57,False
2015-10-04,65,False
2015-10-11,82,False
2015-10-18,84,False
2015-10-25,76,False
2015-11-01,47,False
2015-11-08,74,False
2015-11-15,52,False
2015-11-22,64,False
2015-11-29,47,False
2015-12-06,65,False
2015-12-13,54,False
2015-12-20,49,False
2015-12-27,41,False
