geoName,fight
Alabama,71
Alaska,66
Arizona,78
Arkansas,70
California,83
Colorado,64
Connecticut,66
Delaware,73
District of Columbia,71
Florida,71
Georgia,73
Hawaii,97
Idaho,64
Illinois,70
Indiana,70
Iowa,67
Kansas,70
Kentucky,71
Louisiana,76
Maine,57
Maryland,71
Massachusetts,63
Michigan,69
Minnesota,61
Mississippi,73
Missouri,63
Montana,55
Nebraska,68
Nevada,100
New Hampshire,54
New Jersey,74
New Mexico,70
New York,74
North Carolina,66
North Dakota,67
Ohio,68
Oklahoma,72
Oregon,62
Pennsylvania,72
Rhode Island,68
South Carolina,69
South Dakota,57
Tennessee,66
Texas,76
Utah,62
Vermont,54
Virginia,68
Washington,66
West Virginia,70
Wisconsin,60
Wyoming,64
