date,fight,isPartial
2016-01-03,29,False
2016-01-10,28,False
2016-01-17,35,False
2016-01-24,30,False
2016-01-31,29,False
2016-02-07,29,False
2016-02-14,30,False
2016-02-21,35,False
2016-02-28,38,False
2016-03-06,57,False
2016-03-13,28,False
2016-03-20,34,False
2016-03-27,29,False
2016-04-03,30,False
2016-04-10,34,False
2016-04-17,35,False
2016-04-24,35,False
2016-05-01,31,False
2016-05-08,38,False
2016-05-15,42,False
2016-05-22,27,False
2016-05-29,30,False
2016-06-05,38,False
2016-06-12,27,False
2016-06-19,29,False
2016-06-26,26,False
2016-07-03,33,False
2016-07-10,36,False
2016-07-17,29,False
2016-07-24,32,False
2016-07-31,28,False
2016-08-07,24,False
2016-08-14,29,False
2016-08-21,42,False
2016-08-28,25,False
2016-09-04,27,False
2016-09-11,31,False
2016-09-18,30,False
2016-09-25,28,False
2016-10-02,26,False
2016-10-09,25,False
2016-10-16,24,False
2016-10-23,24,False
2016-10-30,26,False
2016-11-06,33,False
2016-11-13,40,False
2016-11-20,28,False
2016-11-27,25,False
2016-12-04,30,False
2016-12-11,29,False
2016-12-18,28,False
2016-12-25,100,False
