date,fight,isPartial
2013-01-06,36,False
2013-01-13,34,False
2013-01-20,36,False
2013-01-27,43,False
2013-02-03,39,False
2013-02-10,34,False
2013-02-17,36,False
2013-02-24,41,False
2013-03-03,35,False
2013-03-10,39,False
2013-03-17,43,False
2013-03-24,34,False
2013-03-31,34,False
2013-04-07,41,False
2013-04-14,39,False
2013-04-21,43,False
2013-04-28,54,False
2013-05-05,66,False
2013-05-12,36,False
2013-05-19,34,False
2013-05-26,38,False
2013-06-02,33,False
2013-06-09,38,False
2013-06-16,33,False
2013-06-23,33,False
2013-06-30,34,False
2013-07-07,47,False
2013-07-14,34,False
2013-07-21,32,False
2013-07-28,34,False
2013-08-04,34,False
2013-08-11,32,False
2013-08-18,35,False
2013-08-25,35,False
2013-09-01,41,False
2013-09-08,63,False
2013-09-15,100,False
2013-09-22,45,False
2013-09-29,35,False
2013-10-06,37,False
2013-10-13,39,False
2013-10-20,40,False
2013-10-27,35,False
2013-11-03,37,False
2013-11-10,41,False
2013-11-17,45,False
2013-11-24,64,False
2013-12-01,45,False
2013-12-08,39,False
2013-12-15,43,False
2013-12-22,45,False
2013-12-29,59,False
