geoName,fight
Alabama,72
Alaska,64
Arizona,79
Arkansas,64
California,83
Colorado,64
Connecticut,62
Delaware,71
District of Columbia,72
Florida,69
Georgia,77
Hawaii,88
Idaho,63
Illinois,71
Indiana,68
Iowa,63
Kansas,68
Kentucky,73
Louisiana,78
Maine,56
Maryland,70
Massachusetts,66
Michigan,71
Minnesota,62
Mississippi,73
Missouri,68
Montana,63
Nebraska,64
Nevada,100
New Hampshire,57
New Jersey,73
New Mexico,76
New York,71
North Carolina,68
North Dakota,54
Ohio,67
Oklahoma,74
Oregon,43
Pennsylvania,71
Rhode Island,65
South Carolina,67
South Dakota,56
Tennessee,66
Texas,80
Utah,69
Vermont,50
Virginia,70
Washington,66
West Virginia,71
Wisconsin,61
Wyoming,62
