geoName,fight
Alabama,72
Alaska,63
Arizona,83
Arkansas,67
California,85
Colorado,66
Connecticut,65
Delaware,73
District of Columbia,72
Florida,74
Georgia,74
Hawaii,90
Idaho,56
Illinois,72
Indiana,68
Iowa,63
Kansas,69
Kentucky,71
Louisiana,75
Maine,60
Maryland,72
Massachusetts,65
Michigan,74
Minnesota,63
Mississippi,81
Missouri,70
Montana,55
Nebraska,67
Nevada,100
New Hampshire,57
New Jersey,78
New Mexico,76
New York,76
North Carolina,67
North Dakota,65
Ohio,69
Oklahoma,68
Oregon,62
Pennsylvania,72
Rhode Island,72
South Carolina,68
South Dakota,60
Tennessee,67
Texas,80
Utah,66
Vermont,50
Virginia,71
Washington,71
West Virginia,72
Wisconsin,61
Wyoming,60
