date,fight,isPartial
2012-01-01,43,False
2012-01-08,39,False
2012-01-15,42,False
2012-01-22,37,False
2012-01-29,38,False
2012-02-05,42,False
2012-02-12,36,False
2012-02-19,39,False
2012-02-26,44,False
2012-03-04,38,False
2012-03-11,35,False
2012-03-18,36,False
2012-03-25,36,False
2012-04-01,37,False
2012-04-08,37,False
2012-04-15,46,False
2012-04-22,55,False
2012-04-29,56,False
2012-05-06,87,False
2012-05-13,41,False
2012-05-20,41,False
2012-05-27,46,False
2012-06-03,44,False
2012-06-10,100,False
2012-06-17,54,False
2012-06-24,40,False
2012-07-01,43,False
2012-07-08,59,False
2012-07-15,38,False
2012-07-22,38,False
2012-07-29,34,False
2012-08-05,36,False
2012-08-12,38,False
2012-08-19,38,False
2012-08-26,36,False
2012-09-02,36,False
2012-09-09,38,False
2012-09-16,45,False
2012-09-23,40,False
2012-09-30,41,False
2012-10-07,39,False
2012-10-14,41,False
2012-10-21,34,False
2012-10-28,34,False
2012-11-04,33,False
2012-11-11,48,False
2012-11-18,48,False
2012-11-25,46,False
2012-12-02,50,False
2012-12-09,65,False
2012-12-16,37,False
2012-12-23,37,False
2012-12-30,45,False
