date,fight,isPartial
2015-01-04,16,False
2015-01-11,12,False
2015-01-18,15,False
2015-01-25,13,False
2015-02-01,17,False
2015-02-08,11,False
2015-02-15,13,False
2015-02-22,15,False
2015-03-01,18,False
2015-03-08,15,False
2015-03-15,14,False
2015-03-22,12,False
2015-03-29,13,False
2015-04-05,13,False
2015-04-12,15,False
2015-04-19,19,False
2015-04-26,63,False
2015-05-03,100,False
2015-05-10,16,False
2015-05-17,15,False
2015-05-24,15,False
2015-05-31,13,False
2015-06-07,19,False
2015-06-14,16,False
2015-06-21,15,False
2015-06-28,14,False
2015-07-05,15,False
2015-07-12,19,False
2015-07-19,15,False
2015-07-26,20,False
2015-08-02,44,False
2015-08-09,15,False
2015-08-16,14,False
2015-08-23,14,False
2015-08-30,16,False
2015-09-06,17,False
2015-09-13,21,False
2015-09-20,14,False
2015-09-27,15,False
2015-10-04,14,False
2015-10-11,13,False
2015-10-18,13,False
2015-10-25,12,False
2015-11-01,13,False
2015-11-08,18,False
2015-11-15,43,False
2015-11-22,21,False
2015-11-29,14,False
2015-12-06,18,False
2015-12-13,23,False
2015-12-20,15,False
2015-12-27,15,False
