date,fight,isPartial
2014-01-05,39,False
2014-01-12,40,False
2014-01-19,43,False
2014-01-26,42,False
2014-02-02,42,False
2014-02-09,41,False
2014-02-16,43,False
2014-02-23,46,False
2014-03-02,44,False
2014-03-09,49,False
2014-03-16,42,False
2014-03-23,47,False
2014-03-30,42,False
2014-04-06,49,False
2014-04-13,64,False
2014-04-20,55,False
2014-04-27,65,False
2014-05-04,95,False
2014-05-11,100,False
2014-05-18,53,False
2014-05-25,58,False
2014-06-01,45,False
2014-06-08,47,False
2014-06-15,41,False
2014-06-22,41,False
2014-06-29,47,False
2014-07-06,50,False
2014-07-13,49,False
2014-07-20,44,False
2014-07-27,44,False
2014-08-03,44,False
2014-08-10,41,False
2014-08-17,41,False
2014-08-24,42,False
2014-08-31,44,False
2014-09-07,57,False
2014-09-14,68,False
2014-09-21,44,False
2014-09-28,41,False
2014-10-05,41,False
2014-10-12,41,False
2014-10-19,39,False
2014-10-26,40,False
2014-11-02,49,False
2014-11-09,44,False
2014-11-16,45,False
2014-11-23,54,False
2014-11-30,39,False
2014-12-07,53,False
2014-12-14,45,False
2014-12-21,50,False
2014-12-28,50,False
