geoName,fight
Alabama,72
Alaska,71
Arizona,83
Arkansas,65
California,78
Colorado,68
Connecticut,61
Delaware,68
District of Columbia,76
Florida,72
Georgia,71
Hawaii,89
Idaho,68
Illinois,69
Indiana,68
Iowa,67
Kansas,60
Kentucky,73
Louisiana,74
Maine,58
Maryland,66
Massachusetts,64
Michigan,70
Minnesota,60
Mississippi,72
Missouri,70
Montana,68
Nebraska,74
Nevada,100
New Hampshire,55
New Jersey,71
New Mexico,87
New York,72
North Carolina,70
North Dakota,65
Ohio,68
Oklahoma,78
Oregon,50
Pennsylvania,70
Rhode Island,65
South Carolina,71
South Dakota,60
Tennessee,72
Texas,81
Utah,70
Vermont,53
Virginia,50
Washington,69
West Virginia,73
Wisconsin,59
Wyoming,68
