date,fight,isPartial
2011-01-02,46,False
2011-01-09,42,False
2011-01-16,45,False
2011-01-23,45,False
2011-01-30,49,False
2011-02-06,54,False
2011-02-13,45,False
2011-02-20,44,False
2011-02-27,50,False
2011-03-06,44,False
2011-03-13,46,False
2011-03-20,55,False
2011-03-27,63,False
2011-04-03,48,False
2011-04-10,45,False
2011-04-17,45,False
2011-04-24,49,False
2011-05-01,68,False
2011-05-08,69,False
2011-05-15,41,False
2011-05-22,44,False
2011-05-29,44,False
2011-06-05,43,False
2011-06-12,43,False
2011-06-19,37,False
2011-06-26,40,False
2011-07-03,46,False
2011-07-10,39,False
2011-07-17,39,False
2011-07-24,38,False
2011-07-31,45,False
2011-08-07,46,False
2011-08-14,46,False
2011-08-21,54,False
2011-08-28,50,False
2011-09-04,42,False
2011-09-11,61,False
2011-09-18,100,False
2011-09-25,51,False
2011-10-02,44,False
2011-10-09,51,False
2011-10-16,54,False
2011-10-23,43,False
2011-10-30,52,False
2011-11-06,61,False
2011-11-13,78,False
2011-11-20,52,False
2011-11-27,50,False
2011-12-04,56,False
2011-12-11,58,False
2011-12-18,40,False
2011-12-25,61,False
