geoName,fight
Alabama,73
Alaska,73
Arizona,82
Arkansas,72
California,80
Colorado,71
Connecticut,66
Delaware,78
District of Columbia,72
Florida,67
Georgia,69
Hawaii,92
Idaho,73
Illinois,69
Indiana,71
Iowa,66
Kansas,67
Kentucky,71
Louisiana,76
Maine,63
Maryland,71
Massachusetts,68
Michigan,73
Minnesota,62
Mississippi,74
Missouri,69
Montana,68
Nebraska,74
Nevada,100
New Hampshire,66
New Jersey,74
New Mexico,98
New York,71
North Carolina,71
North Dakota,66
Ohio,73
Oklahoma,77
Oregon,62
Pennsylvania,72
Rhode Island,77
South Carolina,68
South Dakota,67
Tennessee,68
Texas,77
Utah,72
Vermont,57
Virginia,67
Washington,69
West Virginia,74
Wisconsin,67
Wyoming,65
