date,devastated,isPartial
2011-01-02,45,False
2011-01-09,60,False
2011-01-16,66,False
2011-01-23,47,False
2011-01-30,51,False
2011-02-06,43,False
2011-02-13,69,False
2011-02-20,69,False
2011-02-27,61,False
2011-03-06,82,False
2011-03-13,71,False
2011-03-20,49,False
2011-03-27,49,False
2011-04-03,52,False
2011-04-10,46,False
2011-04-17,56,False
2011-04-24,80,False
2011-05-01,83,False
2011-05-08,55,False
2011-05-15,92,False
2011-05-22,85,False
2011-05-29,58,False
2011-06-05,69,False
2011-06-12,57,False
2011-06-19,71,False
2011-06-26,66,False
2011-07-03,52,False
2011-07-10,68,False
2011-07-17,100,False
2011-07-24,27,False
2011-07-31,48,False
2011-08-07,59,False
2011-08-14,66,False
2011-08-21,58,False
2011-08-28,82,False
2011-09-04,73,False
2011-09-11,68,False
2011-09-18,53,False
2011-09-25,69,False
2011-10-02,61,False
2011-10-09,57,False
2011-10-16,58,False
2011-10-23,54,False
2011-10-30,55,False
2011-11-06,88,False
2011-11-13,98,False
2011-11-20,48,False
2011-11-27,79,False
2011-12-04,54,False
2011-12-11,49,False
2011-12-18,33,False
2011-12-25,45,False
