geoName,devastated
Alabama,44
Alaska,0
Arizona,37
Arkansas,23
California,54
Colorado,36
Connecticut,53
Delaware,100
District of Columbia,33
Florida,59
Georgia,48
Hawaii,50
Idaho,51
Illinois,40
Indiana,49
Iowa,48
Kansas,65
Kentucky,39
Louisiana,35
Maine,71
Maryland,37
Massachusetts,40
Michigan,35
Minnesota,34
Mississippi,47
Missouri,34
Montana,34
Nebraska,66
Nevada,57
New Hampshire,63
New Jersey,38
New Mexico,45
New York,47
North Carolina,46
North Dakota,61
Ohio,62
Oklahoma,19
Oregon,32
Pennsylvania,39
Rhode Island,57
South Carolina,37
South Dakota,21
Tennessee,33
Texas,39
Utah,20
Vermont,38
Virginia,39
Washington,58
West Virginia,34
Wisconsin,31
Wyoming,0
