date,devastated,isPartial
2013-01-06,75,False
2013-01-13,54,False
2013-01-20,44,False
2013-01-27,63,False
2013-02-03,53,False
2013-02-10,55,False
2013-02-17,61,False
2013-02-24,44,False
2013-03-03,41,False
2013-03-10,61,False
2013-03-17,78,False
2013-03-24,49,False
2013-03-31,62,False
2013-04-07,54,False
2013-04-14,59,False
2013-04-21,71,False
2013-04-28,60,False
2013-05-05,47,False
2013-05-12,49,False
2013-05-19,91,False
2013-05-26,73,False
2013-06-02,49,False
2013-06-09,39,False
2013-06-16,73,False
2013-06-23,43,False
2013-06-30,52,False
2013-07-07,36,False
2013-07-14,71,False
2013-07-21,50,False
2013-07-28,52,False
2013-08-04,40,False
2013-08-11,42,False
2013-08-18,40,False
2013-08-25,45,False
2013-09-01,42,False
2013-09-08,64,False
2013-09-15,62,False
2013-09-22,86,False
2013-09-29,85,False
2013-10-06,61,False
2013-10-13,72,False
2013-10-20,67,False
2013-10-27,75,False
2013-11-03,62,False
2013-11-10,92,False
2013-11-17,71,False
2013-11-24,44,False
2013-12-01,81,False
2013-12-08,81,False
2013-12-15,100,False
2013-12-22,54,False
2013-12-29,55,False
