date,devastated,isPartial
2012-01-01,42,False
2012-01-08,40,False
2012-01-15,30,False
2012-01-22,31,False
2012-01-29,55,False
2012-02-05,48,False
2012-02-12,60,False
2012-02-19,44,False
2012-02-26,60,False
2012-03-04,34,False
2012-03-11,37,False
2012-03-18,52,False
2012-03-25,48,False
2012-04-01,46,False
2012-04-08,39,False
2012-04-15,42,False
2012-04-22,38,False
2012-04-29,73,False
2012-05-06,70,False
2012-05-13,61,False
2012-05-20,82,False
2012-05-27,48,False
2012-06-03,61,False
2012-06-10,44,False
2012-06-17,52,False
2012-06-24,39,False
2012-07-01,35,False
2012-07-08,37,False
2012-07-15,48,False
2012-07-22,53,False
2012-07-29,48,False
2012-08-05,42,False
2012-08-12,58,False
2012-08-19,42,False
2012-08-26,47,False
2012-09-02,45,False
2012-09-09,39,False
2012-09-16,44,False
2012-09-23,53,False
2012-09-30,48,False
2012-10-07,44,False
2012-10-14,54,False
2012-10-21,71,False
2012-10-28,100,False
2012-11-04,74,False
2012-11-11,53,False
2012-11-18,54,False
2012-11-25,63,False
2012-12-02,43,False
2012-12-09,72,False
2012-12-16,70,False
2012-12-23,43,False
2012-12-30,41,False
