geoName,devastated
Alabama,61
Alaska,0
Arizona,67
Arkansas,47
California,47
Colorado,41
Connecticut,43
Delaware,45
District of Columbia,26
Florida,34
Georgia,34
Hawaii,95
Idaho,23
Illinois,46
Indiana,35
Iowa,33
Kansas,35
Kentucky,33
Louisiana,48
Maine,42
Maryland,39
Massachusetts,34
Michigan,48
Minnesota,25
Mississippi,100
Missouri,47
Montana,26
Nebraska,41
Nevada,58
New Hampshire,9
New Jersey,48
New Mexico,46
New York,45
North Carolina,49
North Dakota,16
Ohio,45
Oklahoma,41
Oregon,42
Pennsylvania,45
Rhode Island,54
South Carolina,30
South Dakota,17
Tennessee,51
Texas,42
Utah,34
Vermont,81
Virginia,36
Washington,38
West Virginia,18
Wisconsin,29
Wyoming,0
