geoName,devastated
Alabama,14
Alaska,0
Arizona,28
Arkansas,60
California,51
Colorado,38
Connecticut,38
Delaware,30
District of Columbia,23
Florida,50
Georgia,52
Hawaii,41
Idaho,18
Illinois,45
Indiana,51
Iowa,54
Kansas,41
Kentucky,22
Louisiana,36
Maine,94
Maryland,62
Massachusetts,39
Michigan,43
Minnesota,41
Mississippi,54
Missouri,41
Montana,15
Nebraska,31
Nevada,40
New Hampshire,59
New Jersey,49
New Mexico,100
New York,47
North Carolina,37
North Dakota,18
Ohio,33
Oklahoma,59
Oregon,25
Pennsylvania,36
Rhode Island,51
South Carolina,61
South Dakota,93
Tennessee,42
Texas,39
Utah,30
Vermont,35
Virginia,48
Washington,37
West Virginia,29
Wisconsin,39
Wyoming,0
