geoName,devastated
Alabama,100
Alaska,0
Arizona,39
Arkansas,26
California,62
Colorado,53
Connecticut,49
Delaware,57
District of Columbia,56
Florida,55
Georgia,46
Hawaii,59
Idaho,72
Illinois,50
Indiana,32
Iowa,8
Kansas,52
Kentucky,47
Louisiana,50
Maine,69
Maryland,50
Massachusetts,47
Michigan,64
Minnesota,36
Mississippi,70
Missouri,84
Montana,30
Nebraska,35
Nevada,46
New Hampshire,88
New Jersey,44
New Mexico,47
New York,46
North Carolina,56
North Dakota,0
Ohio,55
Oklahoma,41
Oregon,37
Pennsylvania,64
Rhode Island,38
South Carolina,45
South Dakota,36
Tennessee,65
Texas,49
Utah,32
Vermont,32
Virginia,61
Washington,46
West Virginia,39
Wisconsin,34
Wyoming,0
