date,devastated,isPartial
2014-01-05,61,False
2014-01-12,96,False
2014-01-19,84,False
2014-01-26,63,False
2014-02-02,83,False
2014-02-09,64,False
2014-02-16,69,False
2014-02-23,82,False
2014-03-02,57,False
2014-03-09,72,False
2014-03-16,75,False
2014-03-23,75,False
2014-03-30,71,False
2014-04-06,72,False
2014-04-13,81,False
2014-04-20,52,False
2014-04-27,91,False
2014-05-04,67,False
2014-05-11,66,False
2014-05-18,76,False
2014-05-25,75,False
2014-06-01,74,False
2014-06-08,66,False
2014-06-15,49,False
2014-06-22,57,False
2014-06-29,47,False
2014-07-06,59,False
2014-07-13,78,False
2014-07-20,53,False
2014-07-27,46,False
2014-08-03,51,False
2014-08-10,93,False
2014-08-17,65,False
2014-08-24,66,False
2014-08-31,80,False
2014-09-07,78,False
2014-09-14,68,False
2014-09-21,87,False
2014-09-28,64,False
2014-10-05,79,False
2014-10-12,67,False
2014-10-19,88,False
2014-10-26,100,False
2014-11-02,58,False
2014-11-09,87,False
2014-11-16,81,False
2014-11-23,50,False
2014-11-30,94,False
2014-12-07,68,False
2014-12-14,47,False
2014-12-21,48,False
2014-12-28,42,False
