date,wailing,isPartial
2011-01-02,84,False
2011-01-09,97,False
2011-01-16,88,False
2011-01-23,85,False
2011-01-30,73,False
2011-02-06,87,False
2011-02-13,100,False
2011-02-20,69,False
2011-02-27,97,False
2011-03-06,92,False
2011-03-13,75,False
2011-03-20,79,False
2011-03-27,91,False
2011-04-03,69,False
2011-04-10,54,False
2011-04-17,85,False
2011-04-24,73,False
2011-05-01,69,False
2011-05-08,74,False
2011-05-15,96,False
2011-05-22,73,False
2011-05-29,56,False
2011-06-05,53,False
2011-06-12,48,False
2011-06-19,74,False
2011-06-26,48,False
2011-07-03,69,False
2011-07-10,57,False
2011-07-17,62,False
2011-07-24,67,False
2011-07-31,48,False
2011-08-07,67,False
2011-08-14,48,False
2011-08-21,54,False
2011-08-28,48,False
2011-09-04,69,False
2011-09-11,71,False
2011-09-18,68,False
2011-09-25,59,False
2011-10-02,79,False
2011-10-09,71,False
2011-10-16,56,False
2011-10-23,68,False
2011-10-30,73,False
2011-11-06,46,False
2011-11-13,70,False
2011-11-20,81,False
2011-11-27,57,False
2011-12-04,51,False
2011-12-11,70,False
2011-12-18,56,False
2011-12-25,58,False
