date,wailing,isPartial
2013-01-06,20,False
2013-01-13,30,False
2013-01-20,22,False
2013-01-27,28,False
2013-02-03,21,False
2013-02-10,27,False
2013-02-17,28,False
2013-02-24,30,False
2013-03-03,29,False
2013-03-10,25,False
2013-03-17,22,False
2013-03-24,28,False
2013-03-31,24,False
2013-04-07,29,False
2013-04-14,24,False
2013-04-21,16,False
2013-04-28,24,False
2013-05-05,21,False
2013-05-12,23,False
2013-05-19,16,False
2013-05-26,29,False
2013-06-02,22,False
2013-06-09,21,False
2013-06-16,22,False
2013-06-23,21,False
2013-06-30,24,False
2013-07-07,25,False
2013-07-14,19,False
2013-07-21,21,False
2013-07-28,100,False
2013-08-04,36,False
2013-08-11,25,False
2013-08-18,33,False
2013-08-25,27,False
2013-09-01,23,False
2013-09-08,28,False
2013-09-15,14,False
2013-09-22,26,False
2013-09-29,26,False
2013-10-06,28,False
2013-10-13,22,False
2013-10-20,27,False
2013-10-27,26,False
2013-11-03,17,False
2013-11-10,26,False
2013-11-17,25,False
2013-11-24,25,False
2013-12-01,24,False
2013-12-08,27,False
2013-12-15,18,False
2013-12-22,21,False
2013-12-29,21,False
