date,anger,isPartial
2015-01-04,52,False
2015-01-11,50,False
2015-01-18,50,False
2015-01-25,52,False
2015-02-01,48,False
2015-02-08,47,False
2015-02-15,54,False
2015-02-22,54,False
2015-03-01,50,False
2015-03-08,51,False
2015-03-15,47,False
2015-03-22,51,False
2015-03-29,49,False
2015-04-05,48,False
2015-04-12,50,False
2015-04-19,48,False
2015-04-26,100,False
2015-05-03,55,False
2015-05-10,53,False
2015-05-17,51,False
2015-05-24,53,False
2015-05-31,47,False
2015-06-07,48,False
2015-06-14,53,False
2015-06-21,53,False
2015-06-28,56,False
2015-07-05,54,False
2015-07-12,55,False
2015-07-19,54,False
2015-07-26,54,False
2015-08-02,53,False
2015-08-09,50,False
2015-08-16,50,False
2015-08-23,51,False
2015-08-30,49,False
2015-09-06,51,False
2015-09-13,53,False
2015-09-20,53,False
2015-09-27,53,False
2015-10-04,52,False
2015-10-11,53,False
2015-10-18,55,False
2015-10-25,57,False
2015-11-01,55,False
2015-11-08,56,False
2015-11-15,56,False
2015-11-22,45,False
2015-11-29,51,False
2015-12-06,53,False
2015-12-13,50,False
2015-12-20,50,False
2015-12-27,50,False
