geoName,anger
Alabama,81
Alaska,77
Arizona,82
Arkansas,100
California,88
Colorado,83
Connecticut,80
Delaware,96
District of Columbia,79
Florida,78
Georgia,82
Hawaii,77
Idaho,88
Illinois,79
Indiana,87
Iowa,77
Kansas,83
Kentucky,84
Louisiana,86
Maine,87
Maryland,83
Massachusetts,77
Michigan,80
Minnesota,80
Mississippi,97
Missouri,82
Montana,79
Nebraska,73
Nevada,80
New Hampshire,84
New Jersey,81
New Mexico,86
New York,80
North Carolina,83
North Dakota,87
Ohio,80
Oklahoma,90
Oregon,56
Pennsylvania,89
Rhode Island,90
South Carolina,85
South Dakota,82
Tennessee,89
Texas,81
Utah,75
Vermont,90
Virginia,82
Washington,81
West Virginia,98
Wisconsin,79
Wyoming,87
