geoName,anger
Alabama,93
Alaska,89
Arizona,90
Arkansas,93
California,84
Colorado,80
Connecticut,85
Delaware,76
District of Columbia,78
Florida,80
Georgia,84
Hawaii,81
Idaho,75
Illinois,82
Indiana,93
Iowa,79
Kansas,79
Kentucky,91
Louisiana,89
Maine,91
Maryland,87
Massachusetts,78
Michigan,85
Minnesota,82
Mississippi,89
Missouri,85
Montana,91
Nebraska,78
Nevada,80
New Hampshire,81
New Jersey,85
New Mexico,82
New York,79
North Carolina,86
North Dakota,76
Ohio,81
Oklahoma,100
Oregon,83
Pennsylvania,86
Rhode Island,77
South Carolina,86
South Dakota,81
Tennessee,81
Texas,83
Utah,82
Vermont,100
Virginia,87
Washington,87
West Virginia,93
Wisconsin,85
Wyoming,94
