date,anger,isPartial
2012-01-01,27,False
2012-01-08,30,False
2012-01-15,29,False
2012-01-22,30,False
2012-01-29,31,False
2012-02-05,30,False
2012-02-12,31,False
2012-02-19,31,False
2012-02-26,31,False
2012-03-04,31,False
2012-03-11,28,False
2012-03-18,30,False
2012-03-25,31,False
2012-04-01,31,False
2012-04-08,31,False
2012-04-15,34,False
2012-04-22,38,False
2012-04-29,36,False
2012-05-06,35,False
2012-05-13,34,False
2012-05-20,31,False
2012-05-27,32,False
2012-06-03,32,False
2012-06-10,35,False
2012-06-17,38,False
2012-06-24,100,False
2012-07-01,75,False
2012-07-08,56,False
2012-07-15,46,False
2012-07-22,47,False
2012-07-29,42,False
2012-08-05,39,False
2012-08-12,40,False
2012-08-19,40,False
2012-08-26,37,False
2012-09-02,37,False
2012-09-09,33,False
2012-09-16,31,False
2012-09-23,38,False
2012-09-30,39,False
2012-10-07,35,False
2012-10-14,34,False
2012-10-21,33,False
2012-10-28,31,False
2012-11-04,31,False
2012-11-11,32,False
2012-11-18,30,False
2012-11-25,34,False
2012-12-02,32,False
2012-12-09,32,False
2012-12-16,30,False
2012-12-23,27,False
2012-12-30,28,False
