geoName,anger
Alabama,86
Alaska,99
Arizona,92
Arkansas,93
California,88
Colorado,89
Connecticut,84
Delaware,93
District of Columbia,71
Florida,82
Georgia,89
Hawaii,88
Idaho,88
Illinois,84
Indiana,86
Iowa,90
Kansas,87
Kentucky,85
Louisiana,85
Maine,89
Maryland,81
Massachusetts,80
Michigan,88
Minnesota,79
Mississippi,86
Missouri,90
Montana,64
Nebraska,86
Nevada,83
New Hampshire,86
New Jersey,83
New Mexico,92
New York,80
North Carolina,87
North Dakota,80
Ohio,91
Oklahoma,93
Oregon,55
Pennsylvania,92
Rhode Island,91
South Carolina,85
South Dakota,91
Tennessee,95
Texas,87
Utah,96
Vermont,100
Virginia,79
Washington,87
West Virginia,98
Wisconsin,80
Wyoming,77
