date,anger,isPartial
2013-01-06,72,False
2013-01-13,100,False
2013-01-20,80,False
2013-01-27,85,False
2013-02-03,79,False
2013-02-10,72,False
2013-02-17,78,False
2013-02-24,72,False
2013-03-03,78,False
2013-03-10,80,False
2013-03-17,75,False
2013-03-24,68,False
2013-03-31,67,False
2013-04-07,73,False
2013-04-14,83,False
2013-04-21,78,False
2013-04-28,74,False
2013-05-05,67,False
2013-05-12,71,False
2013-05-19,67,False
2013-05-26,70,False
2013-06-02,73,False
2013-06-09,67,False
2013-06-16,73,False
2013-06-23,73,False
2013-06-30,71,False
2013-07-07,75,False
2013-07-14,73,False
2013-07-21,65,False
2013-07-28,66,False
2013-08-04,69,False
2013-08-11,66,False
2013-08-18,62,False
2013-08-25,55,False
2013-09-01,61,False
2013-09-08,69,False
2013-09-15,71,False
2013-09-22,73,False
2013-09-29,71,False
2013-10-06,75,False
2013-10-13,67,False
2013-10-20,68,False
2013-10-27,75,False
2013-11-03,80,False
2013-11-10,73,False
2013-11-17,77,False
2013-11-24,65,False
2013-12-01,64,False
2013-12-08,64,False
2013-12-15,64,False
2013-12-22,55,False
2013-12-29,60,False
