geoName,anger
Alabama,75
Alaska,87
Arizona,84
Arkansas,89
California,78
Colorado,79
Connecticut,67
Delaware,84
District of Columbia,75
Florida,75
Georgia,78
Hawaii,79
Idaho,95
Illinois,70
Indiana,81
Iowa,74
Kansas,74
Kentucky,83
Louisiana,85
Maine,71
Maryland,81
Massachusetts,73
Michigan,82
Minnesota,76
Mississippi,90
Missouri,76
Montana,74
Nebraska,60
Nevada,78
New Hampshire,66
New Jersey,74
New Mexico,75
New York,75
North Carolina,74
North Dakota,67
Ohio,80
Oklahoma,76
Oregon,59
Pennsylvania,80
Rhode Island,68
South Carolina,84
South Dakota,72
Tennessee,78
Texas,77
Utah,78
Vermont,73
Virginia,61
Washington,76
West Virginia,100
Wisconsin,74
Wyoming,79
