geoName,anger
Alabama,80
Alaska,71
Arizona,77
Arkansas,73
California,76
Colorado,77
Connecticut,83
Delaware,91
District of Columbia,68
Florida,74
Georgia,81
Hawaii,83
Idaho,92
Illinois,74
Indiana,76
Iowa,74
Kansas,85
Kentucky,87
Louisiana,76
Maine,76
Maryland,82
Massachusetts,72
Michigan,77
Minnesota,69
Mississippi,91
Missouri,81
Montana,75
Nebraska,75
Nevada,72
New Hampshire,71
New Jersey,85
New Mexico,100
New York,76
North Carolina,81
North Dakota,57
Ohio,71
Oklahoma,80
Oregon,67
Pennsylvania,85
Rhode Island,84
South Carolina,73
South Dakota,70
Tennessee,77
Texas,78
Utah,72
Vermont,56
Virginia,80
Washington,69
West Virginia,79
Wisconsin,79
Wyoming,75
