geoName,desolate
Alabama,48
Alaska,31
Arizona,39
Arkansas,55
California,46
Colorado,39
Connecticut,40
Delaware,100
District of Columbia,24
Florida,46
Georgia,35
Hawaii,35
Idaho,25
Illinois,47
Indiana,51
Iowa,39
Kansas,44
Kentucky,34
Louisiana,50
Maine,31
Maryland,46
Massachusetts,32
Michigan,40
Minnesota,36
Mississippi,43
Missouri,38
Montana,51
Nebraska,53
Nevada,26
New Hampshire,49
New Jersey,40
New Mexico,60
New York,38
North Carolina,42
North Dakota,25
Ohio,40
Oklahoma,23
Oregon,28
Pennsylvania,46
Rhode Island,41
South Carolina,29
South Dakota,26
Tennessee,33
Texas,47
Utah,40
Vermont,47
Virginia,32
Washington,36
West Virginia,49
Wisconsin,36
Wyoming,0
