date,desolate,isPartial
2012-01-01,65,False
2012-01-08,80,False
2012-01-15,58,False
2012-01-22,74,False
2012-01-29,51,False
2012-02-05,82,False
2012-02-12,70,False
2012-02-19,57,False
2012-02-26,69,False
2012-03-04,93,False
2012-03-11,63,False
2012-03-18,63,False
2012-03-25,68,False
2012-04-01,64,False
2012-04-08,67,False
2012-04-15,76,False
2012-04-22,46,False
2012-04-29,49,False
2012-05-06,74,False
2012-05-13,100,False
2012-05-20,77,False
2012-05-27,56,False
2012-06-03,64,False
2012-06-10,71,False
2012-06-17,51,False
2012-06-24,70,False
2012-07-01,53,False
2012-07-08,50,False
2012-07-15,51,False
2012-07-22,48,False
2012-07-29,50,False
2012-08-05,54,False
2012-08-12,74,False
2012-08-19,47,False
2012-08-26,61,False
2012-09-02,59,False
2012-09-09,62,False
2012-09-16,74,False
2012-09-23,93,False
2012-09-30,62,False
2012-10-07,60,False
2012-10-14,57,False
2012-10-21,59,False
2012-10-28,72,False
2012-11-04,73,False
2012-11-11,68,False
2012-11-18,69,False
2012-11-25,71,False
2012-12-02,79,False
2012-12-09,79,False
2012-12-16,62,False
2012-12-23,52,False
2012-12-30,62,False
