date,desolate,isPartial
2015-01-04,72,False
2015-01-11,64,False
2015-01-18,60,False
2015-01-25,74,False
2015-02-01,64,False
2015-02-08,58,False
2015-02-15,58,False
2015-02-22,82,False
2015-03-01,73,False
2015-03-08,77,False
2015-03-15,64,False
2015-03-22,66,False
2015-03-29,66,False
2015-04-05,73,False
2015-04-12,78,False
2015-04-19,60,False
2015-04-26,82,False
2015-05-03,80,False
2015-05-10,81,False
2015-05-17,79,False
2015-05-24,47,False
2015-05-31,58,False
2015-06-07,50,False
2015-06-14,51,False
2015-06-21,36,False
2015-06-28,44,False
2015-07-05,42,False
2015-07-12,63,False
2015-07-19,45,False
2015-07-26,73,False
2015-08-02,63,False
2015-08-09,66,False
2015-08-16,59,False
2015-08-23,85,False
2015-08-30,92,False
2015-09-06,94,False
2015-09-13,95,False
2015-09-20,85,False
2015-09-27,98,False
2015-10-04,86,False
2015-10-11,75,False
2015-10-18,88,False
2015-10-25,87,False
2015-11-01,79,False
2015-11-08,71,False
2015-11-15,77,False
2015-11-22,61,False
2015-11-29,100,False
2015-12-06,91,False
2015-12-13,86,False
2015-12-20,45,False
2015-12-27,42,False
