date,desolate,isPartial
2011-01-02,73,False
2011-01-09,42,False
2011-01-16,71,False
2011-01-23,49,False
2011-01-30,82,False
2011-02-06,58,False
2011-02-13,84,False
2011-02-20,76,False
2011-02-27,66,False
2011-03-06,91,False
2011-03-13,70,False
2011-03-20,78,False
2011-03-27,76,False
2011-04-03,66,False
2011-04-10,63,False
2011-04-17,73,False
2011-04-24,69,False
2011-05-01,46,False
2011-05-08,87,False
2011-05-15,74,False
2011-05-22,57,False
2011-05-29,68,False
2011-06-05,49,False
2011-06-12,76,False
2011-06-19,44,False
2011-06-26,60,False
2011-07-03,51,False
2011-07-10,48,False
2011-07-17,55,False
2011-07-24,57,False
2011-07-31,47,False
2011-08-07,47,False
2011-08-14,60,False
2011-08-21,85,False
2011-08-28,46,False
2011-09-04,61,False
2011-09-11,44,False
2011-09-18,67,False
2011-09-25,90,False
2011-10-02,69,False
2011-10-09,100,False
2011-10-16,91,False
2011-10-23,74,False
2011-10-30,95,False
2011-11-06,62,False
2011-11-13,70,False
2011-11-20,61,False
2011-11-27,87,False
2011-12-04,72,False
2011-12-11,71,False
2011-12-18,66,False
2011-12-25,59,False
