date,desolate,isPartial
2014-01-05,66,False
2014-01-12,62,False
2014-01-19,66,False
2014-01-26,64,False
2014-02-02,52,False
2014-02-09,61,False
2014-02-16,64,False
2014-02-23,63,False
2014-03-02,76,False
2014-03-09,72,False
2014-03-16,67,False
2014-03-23,58,False
2014-03-30,74,False
2014-04-06,77,False
2014-04-13,61,False
2014-04-20,70,False
2014-04-27,72,False
2014-05-04,64,False
2014-05-11,52,False
2014-05-18,68,False
2014-05-25,59,False
2014-06-01,40,False
2014-06-08,36,False
2014-06-15,32,False
2014-06-22,34,False
2014-06-29,46,False
2014-07-06,29,False
2014-07-13,37,False
2014-07-20,41,False
2014-07-27,39,False
2014-08-03,45,False
2014-08-10,39,False
2014-08-17,43,False
2014-08-24,67,False
2014-08-31,63,False
2014-09-07,83,False
2014-09-14,100,False
2014-09-21,67,False
2014-09-28,81,False
2014-10-05,92,False
2014-10-12,65,False
2014-10-19,86,False
2014-10-26,60,False
2014-11-02,65,False
2014-11-09,70,False
2014-11-16,73,False
2014-11-23,84,False
2014-11-30,73,False
2014-12-07,93,False
2014-12-14,78,False
2014-12-21,64,False
2014-12-28,63,False
