geoName,desolate
Alabama,61
Alaska,96
Arizona,82
Arkansas,75
California,80
Colorado,61
Connecticut,66
Delaware,49
District of Columbia,52
Florida,67
Georgia,60
Hawaii,72
Idaho,70
Illinois,61
Indiana,89
Iowa,59
Kansas,98
Kentucky,64
Louisiana,54
Maine,35
Maryland,70
Massachusetts,57
Michigan,65
Minnesota,74
Mississippi,80
Missouri,67
Montana,38
Nebraska,64
Nevada,71
New Hampshire,100
New Jersey,82
New Mexico,46
New York,63
North Carolina,82
North Dakota,37
Ohio,63
Oklahoma,51
Oregon,53
Pennsylvania,65
Rhode Island,65
South Carolina,60
South Dakota,36
Tennessee,56
Texas,63
Utah,89
Vermont,70
Virginia,66
Washington,65
West Virginia,75
Wisconsin,80
Wyoming,0
