geoName,desolate
Alabama,59
Alaska,26
Arizona,62
Arkansas,48
California,71
Colorado,54
Connecticut,39
Delaware,26
District of Columbia,51
Florida,81
Georgia,58
Hawaii,54
Idaho,66
Illinois,60
Indiana,100
Iowa,52
Kansas,87
Kentucky,37
Louisiana,92
Maine,79
Maryland,70
Massachusetts,75
Michigan,44
Minnesota,46
Mississippi,51
Missouri,55
Montana,27
Nebraska,64
Nevada,59
New Hampshire,27
New Jersey,53
New Mexico,57
New York,66
North Carolina,68
North Dakota,0
Ohio,47
Oklahoma,90
Oregon,76
Pennsylvania,61
Rhode Island,17
South Carolina,82
South Dakota,33
Tennessee,48
Texas,66
Utah,52
Vermont,30
Virginia,71
Washington,55
West Virginia,71
Wisconsin,69
Wyoming,0
